batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
A Ashish Reddy,2012,Deccan Chargers,5,35,29,10,0,0,0,5,7.0,120.69
A Ashish Reddy,2013,Sunrisers Hyderabad,10,125,89,36,0,0,0,10,12.5,140.45
A Ashish Reddy,2015,Sunrisers Hyderabad,5,73,46,22,0,0,0,5,14.6,158.7
A Ashish Reddy,2016,Sunrisers Hyderabad,3,47,29,32,0,0,0,3,15.67,162.07
A Badoni,2022,Lucknow Super Giants,11,161,130,54,1,0,1,11,14.64,123.85
A Badoni,2023,Lucknow Super Giants,12,238,172,59,1,0,0,12,19.83,138.37
A Badoni,2024,Lucknow Super Giants,12,235,171,55,2,0,1,12,19.58,137.43
A Badoni,2025,Lucknow Super Giants,11,329,222,74,2,0,0,11,29.91,148.2
A Chandila,2012,Rajasthan Royals,1,0,1,0,0,0,1,1,0.0,0.0
A Chandila,2013,Rajasthan Royals,1,4,6,4,0,0,0,1,4.0,66.67
A Chopra,2007,Kolkata Knight Riders,5,42,52,24,0,0,0,5,8.4,80.77
A Chopra,2009,Kolkata Knight Riders,1,11,19,11,0,0,0,1,11.0,57.89
A Choudhary,2017,Royal Challengers Bangalore,3,25,20,15,0,0,0,3,8.33,125.0
A Dananjaya,2018,Mumbai Indians,1,4,5,4,0,0,0,1,4.0,80.0
A Flintoff,2009,Chennai Super Kings,3,62,53,24,0,0,0,3,20.67,116.98
A Kamboj,2024,Mumbai Indians,1,2,2,2,0,0,0,1,2.0,100.0
A Kamboj,2025,Chennai Super Kings,5,14,12,5,0,0,1,5,2.8,116.67
A Kumble,2007,Royal Challengers Bangalore,4,13,17,8,0,0,1,4,3.25,76.47
A Kumble,2009,Royal Challengers Bangalore,11,22,30,7,0,0,0,11,2.0,73.33
A Manohar,2022,Gujarat Titans,7,108,75,43,0,0,1,7,15.43,144.0
A Manohar,2023,Gujarat Titans,6,114,83,42,0,0,0,6,19.0,137.35
A Manohar,2024,Gujarat Titans,2,9,16,8,0,0,0,2,4.5,56.25
A Manohar,2025,Sunrisers Hyderabad,5,61,61,43,0,0,1,5,12.2,100.0
A Mhatre,2025,Chennai Super Kings,7,240,127,94,1,0,1,7,34.29,188.98
A Mishra,2007,Delhi Daredevils,3,37,42,31,0,0,0,3,12.33,88.1
A Mishra,2009,Delhi Daredevils,12,65,71,13,0,0,3,12,5.42,91.55
A Mishra,2011,Deccan Chargers,9,68,49,25,0,0,3,9,7.56,138.78
A Mishra,2012,Deccan Chargers,5,16,20,8,0,0,1,5,3.2,80.0
A Mishra,2013,Sunrisers Hyderabad,6,89,96,30,0,0,0,6,14.83,92.71
A Mishra,2014,Sunrisers Hyderabad,2,4,7,4,0,0,1,2,2.0,57.14
A Mishra,2015,Delhi Daredevils,4,8,12,4,0,0,0,4,2.0,66.67
A Mishra,2016,Delhi Daredevils,2,4,14,3,0,0,0,2,2.0,28.57
A Mishra,2017,Delhi Daredevils,6,49,52,13,0,0,0,6,8.17,94.23
A Mishra,2018,Delhi Daredevils,1,1,2,1,0,0,0,1,1.0,50.0
A Mishra,2019,Delhi Capitals,4,21,24,8,0,0,0,4,5.25,87.5
A Mishra,2023,Lucknow Super Giants,1,19,30,19,0,0,0,1,19.0,63.33
A Mithun,2009,Royal Challengers Bangalore,1,5,4,5,0,0,0,1,5.0,125.0
A Mithun,2011,Royal Challengers Bangalore,4,27,20,11,0,0,1,4,6.75,135.0
A Mithun,2013,Royal Challengers Bangalore,1,2,2,2,0,0,0,1,2.0,100.0
A Mukund,2007,Chennai Super Kings,1,0,1,0,0,0,1,1,0.0,0.0
A Mukund,2013,Royal Challengers Bangalore,1,19,21,19,0,0,0,1,19.0,90.48
A Nehra,2007,Mumbai Indians,3,3,13,2,0,0,1,3,1.0,23.08
A Nehra,2009,Delhi Daredevils,3,24,21,22,0,0,0,3,8.0,114.29
A Nehra,2012,Pune Warriors,2,11,12,9,0,0,0,2,5.5,91.67
A Nehra,2013,Delhi Daredevils,4,1,8,1,0,0,3,4,0.25,12.5
A Nehra,2015,Chennai Super Kings,4,1,7,1,0,0,3,4,0.25,14.29
A Nehra,2016,Sunrisers Hyderabad,1,1,1,1,0,0,0,1,1.0,100.0
A Nortje,2020,Delhi Capitals,3,7,6,3,0,0,0,3,2.33,116.67
A Nortje,2022,Delhi Capitals,1,1,6,1,0,0,0,1,1.0,16.67
A Nortje,2023,Delhi Capitals,7,37,29,23,0,0,2,7,5.29,127.59
A Nortje,2024,Delhi Capitals,2,4,8,4,0,0,1,2,2.0,50.0
A Raghuvanshi,2024,Kolkata Knight Riders,7,163,105,54,1,0,0,7,23.29,155.24
A Raghuvanshi,2025,Kolkata Knight Riders,11,300,215,50,1,0,0,11,27.27,139.53
A Singh,2009,Rajasthan Royals,2,1,3,1,0,0,1,2,0.5,33.33
A Singh,2011,Rajasthan Royals,2,1,4,1,0,0,1,2,0.5,25.0
A Singh,2012,Rajasthan Royals,1,0,3,0,0,0,1,1,0.0,0.0
A Symonds,2007,Deccan Chargers,3,161,105,117,0,1,0,3,53.67,153.33
A Symonds,2009,Deccan Chargers,24,678,507,60,5,0,0,24,28.25,133.73
A Symonds,2011,Mumbai Indians,9,135,138,44,0,0,0,9,15.0,97.83
A Tomar,2022,Kolkata Knight Riders,1,4,8,4,0,0,0,1,4.0,50.0
A Uniyal,2009,Rajasthan Royals,2,4,7,4,0,0,1,2,2.0,57.14
A Zampa,2016,Rising Pune Supergiants,1,0,1,0,0,0,1,1,0.0,0.0
A Zampa,2017,Rising Pune Supergiant,1,5,7,5,0,0,0,1,5.0,71.43
A Zampa,2023,Rajasthan Royals,3,10,16,7,0,0,0,3,3.33,62.5
AA Bilakhia,2009,Deccan Chargers,7,69,85,22,0,0,0,7,9.86,81.18
AA Chavan,2011,Rajasthan Royals,1,1,3,1,0,0,0,1,1.0,33.33
AA Chavan,2012,Rajasthan Royals,2,11,8,7,0,0,0,2,5.5,137.5
AA Jhunjhunwala,2009,Rajasthan Royals,10,183,166,53,1,0,0,10,18.3,110.24
AA Jhunjhunwala,2011,Pune Warriors,2,10,18,10,0,0,1,2,5.0,55.56
AA Jhunjhunwala,2012,Deccan Chargers,3,24,26,19,0,0,0,3,8.0,92.31
AA Kulkarni,2024,Lucknow Super Giants,2,9,8,9,0,0,1,2,4.5,112.5
AA Noffke,2007,Royal Challengers Bangalore,1,9,10,9,0,0,0,1,9.0,90.0
AB Agarkar,2007,Kolkata Knight Riders,6,54,46,20,0,0,0,6,9.0,117.39
AB Agarkar,2009,Kolkata Knight Riders,9,106,86,39,0,0,0,9,11.78,123.26
AB Agarkar,2011,Delhi Daredevils,1,7,6,7,0,0,0,1,7.0,116.67
AB Agarkar,2013,Delhi Daredevils,2,12,16,9,0,0,0,2,6.0,75.0
AB Barath,2009,Kings XI Punjab,3,42,42,33,0,0,0,3,14.0,100.0
AB Dinda,2007,Kolkata Knight Riders,2,2,4,1,0,0,0,2,1.0,50.0
AB Dinda,2009,Kolkata Knight Riders,3,2,4,2,0,0,2,3,0.67,50.0
AB Dinda,2011,Delhi Daredevils,1,0,5,0,0,0,1,1,0.0,0.0
AB Dinda,2012,Pune Warriors,1,2,5,2,0,0,0,1,2.0,40.0
AB Dinda,2013,Pune Warriors,5,9,11,6,0,0,2,5,1.8,81.82
AB Dinda,2014,Royal Challengers Bangalore,3,4,12,2,0,0,1,3,1.33,33.33
AB Dinda,2017,Rising Pune Supergiant,1,7,7,7,0,0,0,1,7.0,100.0
AB McDonald,2009,Delhi Daredevils,4,68,56,33,0,0,0,4,17.0,121.43
AB McDonald,2011,Delhi Daredevils,1,8,7,8,0,0,0,1,8.0,114.29
AB McDonald,2012,Royal Challengers Bangalore,3,47,35,30,0,0,0,3,15.67,134.29
AB McDonald,2013,Royal Challengers Bangalore,1,0,2,0,0,0,1,1,0.0,0.0
AB de Villiers,2007,Delhi Daredevils,6,95,98,26,0,0,1,6,15.83,96.94
AB de Villiers,2009,Delhi Daredevils,20,576,474,105,3,1,1,20,28.8,121.52
AB de Villiers,2011,Royal Challengers Bangalore,13,312,243,65,2,0,2,13,24.0,128.4
AB de Villiers,2012,Royal Challengers Bangalore,13,319,198,64,3,0,1,13,24.54,161.11
AB de Villiers,2013,Royal Challengers Bangalore,14,373,223,64,3,0,0,14,26.64,167.26
AB de Villiers,2014,Royal Challengers Bangalore,13,395,249,89,3,0,1,13,30.38,158.63
